"site","latitude","longitude","region","release","stemsper50m2","stemheight_cm","inflorescences","damage"
"E10.MTALB",44.2096,-79.33869,"Central","Nonrelease",191,130,2.15,2.76
"E11.JP",44.32528,-79.37285,"Central","Nonrelease",10,117,1.8,1.537037037
"E12.HWY8.1",44.22103,-79.44601,"Central","Nonrelease",96,101,3.95,3.181818182
"E13.HWY8.2",44.28527,-79.44429,"Central","Nonrelease",86,111,5.9,3.118644068
"E14.HWY48",44.32518,-79.23592,"Central","Nonrelease",15,121,2.3,4.441441441
"E16.ROG2",44.08084,-79.4542,"Central","Nonrelease",166,152,6.3,3.057553957
"E20.169A",44.65742,-79.25288,"Central","Nonrelease",30,90,5.8,1.777777778
"E21.169.1",45.0016,-79.49355,"Central","Nonrelease",8,64.44444444,2.277777778,3.31884058
"E22.118.1",45.09175,-79.49519,"Central","Nonrelease",39,159,5.2,1.846153846
"E23.118.2",45.02393,-79.31207,"Central","Nonrelease",26,131,4.4,1.724832215
"E24.McT",45.12287,-79.76157,"Central","Nonrelease",275,126,2.05,0.346368715
"E25.69.1",45.24889,-79.8187,"Central","Nonrelease",75,75,1.05,0.87037037
"E26.PS.1",45.35915,-79.99567,"Central","Nonrelease",79,119,1.25,2.34351145
"E27.69.4",45.36765,-80.045,"Central","Nonrelease",35,115,2.5,1.911111111
"E28.124.3",45.64478,-79.85545,"Central","Nonrelease",112,118,4.4,2.343283582
"E29.11.1",45.74047,-79.42169,"Central","Nonrelease",113,121,2,0.666666667
"E9.WHTBY",43.90396,-79.00619,"Central","Nonrelease",84,99,2.75,2.188679245
"E1.SHC",44.50564,-76.40702,"East","Nonrelease",70,108,7.3,1.567567568
"E17.MCREEK",44.53938,-76.19817,"East","Nonrelease",10,142,12.3,2.295081967
"E18.CHRD",44.62889,-76.22517,"East","Nonrelease",164,142,10.7,2.401639344
"E19.ELGIN",44.6203,-76.20215,"East","Nonrelease",285,94,5.15,2.754545455
"E2.CH15",44.63256,-76.25264,"East","Nonrelease",165,109,9.8,3.234042553
"E3.33SHTPT",44.5476,-76.12887,"East","Nonrelease",225,151.0526316,5.894736842,2.158273381
"E30.DL.1",44.57611,-76.29588,"East","Nonrelease",565,113,5.6,3.813432836
"E31.DL.2",44.58767,-76.26915,"East","Nonrelease",348,119,4.65,1.701492537
"E32.CIM",44.56871,-76.3215,"East","Nonrelease",125,138,6.1,1.730769231
"E4.33no2",44.58491,-76.10954,"East","Nonrelease",11,90,4.416666667,1.75
"E5.33.42",44.59529,-76.08914,"East","Nonrelease",132,133,11,2.280254777
"E6.42.HTGR",44.63943,-76.13815,"East","Nonrelease",189,122,4.65,2.430656934
"E7.CHRR",44.62392,-76.24507,"East","Nonrelease",64,138,9.4,2.99137931
"E8.INDLK",44.58079,-76.33195,"East","Nonrelease",103,126,5.65,2.067226891
"E15.CAL2",43.82227,-79.94051,"Other","Nonrelease",150,148,3.75,2.968
"W5.ROG",44.0895,-79.4614,"Central","Release",425,126,5.75,3.515384615
"B4.SCUG",44.09722,-78.99583,"Central","Release",76,160,3.45,3.061403509
"B6.DUF",43.81765,-79.03422,"Central","Release",105,149,13.35,3.466101695
"W2.CLK",44.79868,-76.17969,"East","Release",288,121,1.1,1.591549296
"B1.PLD",44.70306,-76.18333,"East","Release",77,105,7.35,3.008849558
"B2.NUM",44.97333,-76.04556,"East","Release",9,111.4285714,2.928571429,4.14507772
"B3.LDY",44.83,-76.09611,"East","Release",233,127,2.65,2.86
"W1.CCR",45.11667,-75.66778,"Other","Release",95,163,3.8,2.228813559
"W10.POW",42.94492,-80.32383,"Other","Release",317,171,9.95,2.146551724
"W11.LP",42.5814,-80.43343,"Other","Release",36,106,2.85,3.132075472
"W12.FHILL",43.01927,-79.28537,"Other","Release",1000,145,2.55,2.12
"W3.MAD",44.49361,-77.47111,"Other","Release",69,107,5.15,3.188235294
"W4.7.34",44.33185,-78.20667,"Other","Release",241,122,5.6,2.320610687
"W6.BRCA",44.37833,-81.52458,"Other","Release",0,42,0.1,3.756756757
"W7.DDAM",44.50415,-81.33283,"Other","Release",3,54.21052632,0.631578947,2.333333333
"W8.RPK",43.40403,-80.36287,"Other","Release",3,123.3333333,11.66666667,3.333333333
"W9.HWY17",43.53402,-80.48205,"Other","Release",11,89,3.5,3.638297872
"B5.CAL",43.81927,-79.94017,"Other","Release",2,115,0.3,4.450549451
"B7.LEN",43.41978,-80.32984,"Other","Release",5,102,1.1,2.12
"B8.WPNDS",42.92883,-80.3186,"Other","Release",20,145,4.25,2.936363636
